"","x"
"1","NonCanonical"
"2","Atypical"
"3","NonCanonical"
"4","NonCanonical"
"5","NonCanonical"
"6","NonCanonical"
"7","NonCanonical"
"8","NonCanonical"
"9","Atypical"
"10","Atypical"
"11","Atypical"
"12","Atypical"
"13","NonCanonical"
"14","Atypical"
"15","NonCanonical"
"16","Atypical"
"17","Atypical"
"18","Canonical"
"19","Canonical"
"20","NonCanonical"
"21","Canonical"
"22","Atypical"
"23","NonCanonical"
"24","Atypical"
"25","Canonical"
"26","NonCanonical"
"27","Atypical"
"28","Atypical"
"29","Atypical"
"30","Atypical"
"31","Atypical"
"32","Atypical"
"33","Canonical"
"34","Canonical"
"35","NonCanonical"
"36","Canonical"
"37","Atypical"
"38","Atypical"
"39","Atypical"
"40","Canonical"
"41","Atypical"
"42","Atypical"
"43","Canonical"
"44","NonCanonical"
"45","Canonical"
"46","Atypical"
"47","Canonical"
"48","Canonical"
"49","Atypical"
"50","Canonical"
"51","NonCanonical"
"52","Canonical"
"53","Atypical"
"54","Atypical"
"55","Canonical"
"56","Atypical"
"57","Atypical"
"58","Canonical"
"59","Canonical"
"60","Atypical"
"61","Canonical"
"62","Canonical"
"63","Canonical"
"64","Canonical"
"65","Canonical"
"66","Canonical"
"67","Canonical"
"68","Atypical"
"69","Atypical"
"70","Atypical"
"71","Atypical"
"72","Atypical"
"73","Canonical"
"74","Atypical"
"75","Atypical"
"76","Atypical"
"77","Atypical"
"78","NonCanonical"
"79","Atypical"
"80","NonCanonical"
"81","Canonical"
"82","Atypical"
"83","Atypical"
"84","NonCanonical"
"85","Canonical"
"86","Atypical"
"87","Atypical"
"88","Canonical"
"89","Atypical"
"90","Atypical"
"91","Atypical"
"92","NonCanonical"
"93","Atypical"
"94","Canonical"
"95","Canonical"
"96","NonCanonical"
"97","Canonical"
"98","Canonical"
"99","Canonical"
"100","Canonical"
"101","Canonical"
"102","Atypical"
"103","Atypical"
"104","NonCanonical"
"105","Atypical"
"106","Canonical"
"107","Atypical"
"108","NonCanonical"
"109","Atypical"
"110","Atypical"
"111","NonCanonical"
"112","Atypical"
"113","NonCanonical"
"114","Canonical"
"115","Atypical"
"116","NonCanonical"
"117","Atypical"
"118","Canonical"
"119","NonCanonical"
"120","NonCanonical"
"121","NonCanonical"
"122","Atypical"
"123","Atypical"
"124","Canonical"
"125","Canonical"
"126","Atypical"
"127","Atypical"
"128","Atypical"
"129","NonCanonical"
"130","Canonical"
"131","NonCanonical"
"132","Atypical"
"133","NonCanonical"
"134","Atypical"
"135","Canonical"
"136","Atypical"
"137","Atypical"
"138","Atypical"
"139","Atypical"
"140","Atypical"
"141","Atypical"
"142","NonCanonical"
"143","Atypical"
"144","Atypical"
"145","Atypical"
"146","NonCanonical"
"147","Atypical"
"148","Atypical"
"149","NonCanonical"
"150","NonCanonical"
"151","Atypical"
"152","Atypical"
"153","Atypical"
"154","Atypical"
"155","Canonical"
"156","NonCanonical"
"157","Canonical"
"158","Atypical"
"159","Atypical"
"160","Atypical"
"161","Canonical"
"162","Canonical"
"163","Atypical"
"164","Canonical"
"165","Canonical"
"166","Atypical"
"167","Canonical"
"168","Canonical"
"169","Atypical"
"170","Canonical"
"171","Atypical"
"172","NonCanonical"
"173","Atypical"
"174","Canonical"
"175","Canonical"
"176","Canonical"
"177","Canonical"
"178","Atypical"
"179","Canonical"
"180","Atypical"
"181","Canonical"
"182","Atypical"
"183","Canonical"
"184","Atypical"
"185","Atypical"
"186","Canonical"
"187","NonCanonical"
"188","Atypical"
"189","Atypical"
"190","Canonical"
"191","Canonical"
"192","Atypical"
"193","Canonical"
"194","Canonical"
"195","Canonical"
"196","Canonical"
"197","Canonical"
"198","Canonical"
"199","Atypical"
"200","Canonical"
"201","Canonical"
"202","Canonical"
"203","Canonical"
"204","Atypical"
"205","Atypical"
"206","Canonical"
"207","Canonical"
"208","Canonical"
"209","Canonical"
"210","Canonical"
"211","Atypical"
"212","Atypical"
"213","Canonical"
"214","Canonical"
"215","Canonical"
"216","Canonical"
"217","Canonical"
"218","Canonical"
"219","Canonical"
"220","Canonical"
"221","Atypical"
"222","Canonical"
"223","Canonical"
